uc_id,share_intervals_sync_positive_burden_q95,mean_tb_night_anom_during_sync_positive_q95,total_weighted_burden_q95,n_sync_positive_intervals_q95,mean_t2m_c,mean_ring_veg,country,wb_income,un_sdg_reg,population_2025,developing_economy,baseline_heat_tertile,baseline_veg_tertile
2567,0.03497164461247637,3.5600533204673037,23222048.904980693,37,9.398199794146763,1072.9338374291115,Poland,High income,Europe,176295.9391,0,cooler,middle
257,0.034026465028355386,2.9637992159571738,6355539.928409506,36,9.737188042800636,966.7911153119093,Poland,High income,Europe,59566.37509,0,cooler,lower_veg
2571,0.031190926275992438,2.502801162042388,25178412.99326178,33,10.927205992352256,1141.3620037807184,Romania,High income,Europe,304851.3096,0,cooler,middle
2576,0.034026465028355386,3.4568489064756402,1790049476.763862,36,5.9757921653827335,1754.617202268431,Russia,Upper Middle,Europe,14384081.55,1,cooler,higher_veg
2577,0.036862003780718335,1.2205182765488891,18085074.043453287,39,21.41980768144742,1352.1739130434783,Egypt,Lower Middle,Northern Africa and Western Asia,379936.8319,1,hotter,higher_veg
2581,0.02551984877126654,1.0726079364084495,4011788.9676210983,27,19.405759304577877,1256.6190926275992,Uganda,Low income,Sub-Saharan Africa,138526.6429,1,middle,higher_veg
2584,0.034026465028355386,0.7762125136111434,1822949.3098262022,36,20.352105566414586,983.5056710775048,Kenya,Lower Middle,Sub-Saharan Africa,65236.62005,1,middle,lower_veg
2597,0.023629489603024575,1.4674195701185762,67847828.2753569,25,26.686984337969786,1033.9962192816636,Myanmar,Lower Middle,Eastern and South-Eastern Asia,1849445.916,1,hotter,middle
260,0.035916824196597356,2.625394294038319,8008347.292704,38,10.500642579836683,1110.741965973535,Slovenia,High income,Europe,80272.12593,0,cooler,middle
2605,0.015122873345935728,1.4964988877110095,1885621.0746966936,16,26.338299636624512,986.2514177693762,Philippines,Lower Middle,Eastern and South-Eastern Asia,78751.35634,1,hotter,lower_veg
2606,0.026465028355387523,1.9103469822214925,2994874.444714703,28,20.128288579402803,1342.2202268431001,Australia,High income,Australia and New Zealand,55989.72469,0,middle,higher_veg
2607,0.03497164461247637,1.7734894873641394,12334001.799003776,37,15.273930183631801,1208.6379962192816,United States,High income,Northern America,187963.5613,0,middle,higher_veg
2609,0.021739130434782608,1.8834412311854476,2757459.210003059,23,21.496302590379532,1025.7911153119092,Guatemala,Upper Middle,Latin America and the Caribbean,63654.51116,1,hotter,middle
2610,0.035916824196597356,1.815830934958747,6993915.762045433,38,14.214278575573738,1087.663516068053,Ecuador,Upper Middle,Latin America and the Caribbean,101358.7836,1,cooler,middle
2614,0.031190926275992438,1.012686176529341,28529687.21800985,33,23.982782901507495,1047.6030245746692,Venezuela,Upper Middle,Latin America and the Caribbean,853705.7149,1,hotter,middle
