model,outcome,term,estimate,std_error_cluster_city,ci95_low,ci95_high,t_stat,p_value,n_obs,n_cities,n_times,p_value_holm_within_model
post_dhd_memory_inversion_0p0,inversion_0p0,post_dhd_lag2_x_storage,0.007636938030213539,0.00147105073902308,0.004753678581728303,0.010520197478698777,5.191485125309278,2.0862325719553502e-07,2403557,2769,1058,1.4603628003687452e-06
post_dhd_memory_inversion_0p0,inversion_0p0,post_dhd_lag3_x_storage,0.007078640594661297,0.0014773032838423605,0.004183126158330271,0.009974155030992323,4.791596060255317,1.6545976778129136e-06,2403557,2769,1058,9.927586066877481e-06
post_dhd_memory_inversion_0p0,inversion_0p0,post_dhd_lag4_x_storage,0.007454317765583889,0.0015712142885221387,0.004374737760080497,0.010533897771087281,4.744303701944635,2.092247536518446e-06,2403557,2769,1058,1.0461237682592231e-05
post_dhd_memory_inversion_0p1,inversion_0p1,z_t2m_true_night_pct_rank,-0.0017929865640127004,0.0005144643062574552,-0.002801336604277313,-0.0007846365237480881,-3.4851525017469913,0.0004918566290056649,2403557,2769,1058,0.002951139774033989
post_dhd_memory_inversion_0p1,inversion_0p1,z_vpd_pct,0.011999050959515532,0.0005268950266297197,0.010966336707321282,0.013031765211709782,22.773133837051713,8.467044059263388e-115,2403557,2769,1058,8.467044059263388e-114
post_dhd_memory_inversion_0p1,inversion_0p1,z_rzsm_pct,-0.01505665852777627,0.0005807743583689177,-0.016194976270179347,-0.013918340785373191,-25.925143406920224,3.467994382727489e-148,2403557,2769,1058,3.814793821000238e-147
post_dhd_memory_inversion_0p1,inversion_0p1,post_dhd_lag1,0.0025465882912874627,0.0012675509739385558,6.218838236789334e-05,0.005030988200207032,2.009061839441976,0.04453057598654314,2403557,2769,1058,0.13359172795962942
post_dhd_memory_inversion_0p1,inversion_0p1,post_dhd_lag2,0.0028612980141863482,0.0012913647102534194,0.00033022318208964646,0.00539237284628305,2.2157164366252835,0.026710928495140424,2403557,2769,1058,0.1068437139805617
post_dhd_memory_inversion_0p1,inversion_0p1,post_dhd_lag3,0.0019266753594062997,0.0013398118233135885,-0.0006993558142883336,0.004552706533100933,1.4380193739754403,0.15042855713862394,2403557,2769,1058,0.3008571142772479
post_dhd_memory_inversion_0p1,inversion_0p1,post_dhd_lag4,0.001882926834038544,0.0014180289223235524,-0.0008964098537156185,0.004662263521792706,1.327847975733259,0.18422833416671716,2403557,2769,1058,0.3008571142772479
post_dhd_memory_inversion_0p1,inversion_0p1,post_dhd_lag1_x_storage,0.00797980963129757,0.0012937953528199477,0.005443970739770473,0.010515648522824668,6.167752584599127,6.926741231388704e-10,2403557,2769,1058,6.234067108249834e-09
post_dhd_memory_inversion_0p1,inversion_0p1,post_dhd_lag2_x_storage,0.005903647137633914,0.0013212578127921887,0.0033139818245612246,0.008493312450706603,4.468202254303307,7.887970813792934e-06,2403557,2769,1058,6.310376651034347e-05
post_dhd_memory_inversion_0p1,inversion_0p1,post_dhd_lag3_x_storage,0.005075219086228346,0.001327355766851695,0.002473601783199024,0.007676836389257669,3.823555984742558,0.00013154070665067908,2403557,2769,1058,0.0009207849465547536
post_dhd_memory_inversion_0p1,inversion_0p1,post_dhd_lag4_x_storage,0.003314657156640785,0.0013793253102602555,0.0006111795485306843,0.0060181347647508855,2.4031003650729534,0.01625672498141163,2403557,2769,1058,0.08128362490705815
post_dhd_memory_inversion_0p25,inversion_0p25,z_t2m_true_night_pct_rank,0.002787844250923477,0.0005053662666471278,0.0017973263682951066,0.003778362133551848,5.51648266794604,3.45851580181007e-08,2403557,2769,1058,2.766812641448056e-07
post_dhd_memory_inversion_0p25,inversion_0p25,z_vpd_pct,0.006112347674637615,0.0004129108870645931,0.005303042335991012,0.006921653013284217,14.803067359377808,1.3995204067482634e-49,2403557,2769,1058,1.3995204067482635e-48
post_dhd_memory_inversion_0p25,inversion_0p25,z_rzsm_pct,-0.011352318401278006,0.00045513024212670447,-0.012244373675846347,-0.010460263126709664,-24.943010484716623,2.5428507991441978e-137,2403557,2769,1058,2.7971358790586176e-136
post_dhd_memory_inversion_0p25,inversion_0p25,post_dhd_lag1,0.0042106066333396875,0.0010611193093339813,0.002130812787045084,0.00629040047963429,3.9680803056750547,7.245392052637785e-05,2403557,2769,1058,0.0005071774436846449
post_dhd_memory_inversion_0p25,inversion_0p25,post_dhd_lag2,0.0027762310600312726,0.0010888683095327946,0.0006420491733469952,0.00491041294671555,2.549648139932075,0.010783168803453529,2403557,2769,1058,0.043132675213814115
post_dhd_memory_inversion_0p25,inversion_0p25,post_dhd_lag3,0.00302066145083099,0.0011265478464591325,0.0008126276717710904,0.0052286952298908895,2.6813432383944202,0.0073327261240936905,2403557,2769,1058,0.03666363062046845
post_dhd_memory_inversion_0p25,inversion_0p25,post_dhd_lag4,0.0021377385467590644,0.001162461616361415,-0.0001406862213093091,0.004416163314827437,1.838975598566715,0.06591877520981766,2403557,2769,1058,0.13183755041963532
post_dhd_memory_inversion_0p25,inversion_0p25,post_dhd_lag1_x_storage,0.006138840200164739,0.0010408039930195484,0.004098864373846425,0.008178816026483054,5.898171261194844,3.6755237513857787e-09,2403557,2769,1058,3.307971376247201e-08
post_dhd_memory_inversion_0p25,inversion_0p25,post_dhd_lag2_x_storage,0.004021524022304416,0.0010538934070228165,0.0019558929445396963,0.0060871551000691365,3.815873593578095,0.00013570196559407926,2403557,2769,1058,0.0008142117935644755
